prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,update_date_dt,create_date_dt
GDIA01,TSA,,INV,Rapana venosa,PRJNA288836,SAMN03839030,,tissue_type: larvae,169741352,246627,0,No,2016-04-21T00:00:00Z,2016-04-21T00:00:00Z
GDIB01,TSA,,VRT,Austrofundulus limnaeus,PRJNA272154,"SAMN03610142,SAMN03610143,SAMN03610144,SAMN03610145,SAMN03610146,SAMN03610147",,,193582810,275849,0,No,2015-07-27T00:00:00Z,2015-07-27T00:00:00Z
GDIC01,TSA,,INV,Ornithodoros turicata,PRJNA281459,SAMN03569137,,"dev_stage: Adult,host: Gopherus polyphemus,isolation_source: tortoise burrow,tissue_type: Synganglion",43114332,67553,0,No,2015-10-05T00:00:00Z,2015-10-05T00:00:00Z
GDID01,TSA,,INV,Trepomonas sp. PC1,PRJNA288252,SAMN03797426,strain: PC1,isolation_source: marine sediment,9931868,7980,7980,Yes,2016-03-16T00:00:00Z,2016-03-16T00:00:00Z
GDIE01,TSA,,INV,Ornithodoros turicata,PRJNA281459,SAMN03569137,,"dev_stage: Adult,host: Gopherus polyphemus,isolation_source: tortoise burrow,tissue_type: Synganglion",57607867,130500,0,No,2015-09-03T00:00:00Z,2015-09-03T00:00:00Z
GDIF01,TSA,,INV,Acropora hyacinthus,PRJNA177515,"SAMN01816467,SAMN01816468,SAMN01816469,SAMN01816470,SAMN01816471,SAMN01816472,SAMN01816473,SAMN01816474,SAMN01816475,SAMN01816476,SAMN01816477,SAMN01816478,SAMN01816479,SAMN01816480,SAMN01816481,SAMN01816482,SAMN01816483,SAMN01816484,SAMN01816485,SAMN01816486,SAMN01816487,SAMN01816488,SAMN01816489,SAMN01816490,SAMN01816491,SAMN01816492,SAMN01816493,SAMN01816494,SAMN01816495,SAMN01816496,SAMN01816497,SAMN01818608,SAMN01818609,SAMN01818610,SAMN01818611,SAMN01818612,SAMN01818613,SAMN01818614,SAMN01818615,SAMN01818616,SAMN01818617,SAMN01818618,SAMN01818619,SAMN01818620,SAMN01818621,SAMN01818622,SAMN01818623,SAMN01818624,SAMN01818625,SAMN01818626,SAMN01818627,SAMN01818628,SAMN01818629,SAMN01818630,SAMN01818631,SAMN01818632,SAMN01818633,SAMN01818634,SAMN01818635,SAMN01818636,SAMN01818637,SAMN01818638",,,14970788,39984,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDIG01,TSA,,PLN,Trichosanthes kirilowii,PRJNA288625,SAMN03835257,,"dev_stage: mature,tissue_type: Root",58522866,67292,0,No,2016-08-02T00:00:00Z,2016-08-02T00:00:00Z
GDIH01,TSA,,VRT,Austrofundulus limnaeus,PRJNA272154,"SAMN03610172,SAMN03610173,SAMN03610174,SAMN03610175",,,155599737,214492,0,No,2015-07-27T00:00:00Z,2015-07-27T00:00:00Z
GDII01,TSA,,VRT,Austrofundulus limnaeus,PRJNA272154,"SAMN03610184,SAMN03610185,SAMN03610186,SAMN03610187",,,288932676,425881,0,No,2015-07-27T00:00:00Z,2015-07-27T00:00:00Z
GDIJ01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03843845,isolate: ABR,"dev_stage: adult,tissue_type: leaf",43018981,78575,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDIK01,TSA,,PLN,Pseudocercospora eumusae,PRJNA289096,SAMN03846658,strain: CBS114824,isolation_source: banana,67227961,24359,0,No,2016-02-23T00:00:00Z,2016-02-23T00:00:00Z
GDIL01,TSA,,PLN,Cucumis sativus,PRJNA169904,"SAMN01085195,SAMN01085196,SAMN01085197,SAMN01085198,SAMN02689754,SAMN02689755,SAMN02689756,SAMN02689757",,,49544951,50751,0,No,2015-07-27T00:00:00Z,2015-07-27T00:00:00Z
GDIM01,TSA,,INV,Stomoxys calcitrans,PRJNA188117,SAMN03840662,breed: 8C7A2A5H3J4,"dev_stage: All,tissue_type: Whole fly",59550049,51432,0,No,2015-07-24T00:00:00Z,2015-07-24T00:00:00Z
GDIN01,TSA,,PLN,Pseudocercospora musae,PRJNA289098,SAMN03846657,isolate: CBS116634,isolation_source: leaf,216055970,37938,0,No,2016-02-23T00:00:00Z,2016-02-23T00:00:00Z
GDIO01,TSA,,INV,Locusta migratoria manilensis,PRJNA283919,"SAMN03704890,SAMN03704948,SAMN03704952,SAMN03704957",,tissue_type: hemocyte & fat body,46444654,50791,0,No,2016-07-05T00:00:00Z,2016-07-05T00:00:00Z
GDIP01,TSA,,INV,Daphnia magna,PRJNA284518,"SAMN03765627,SAMN03765629,SAMN03765631,SAMN03765633,SAMN03765635,SAMN03765637,SAMN03765639,SAMN03765641,SAMN03765642,SAMN03765643,SAMN03765644,SAMN03765645,SAMN03765646,SAMN03765647",,,554792750,255355,255355,Yes,2015-10-26T00:00:00Z,2015-10-26T00:00:00Z
GDIQ01,TSA,,INV,Daphnia magna,PRJNA284518,"SAMN03765626,SAMN03765628,SAMN03765630,SAMN03765632,SAMN03765634,SAMN03765636,SAMN03765638,SAMN03765640",,,623115894,271331,271331,Yes,2015-10-26T00:00:00Z,2015-10-26T00:00:00Z
GDIR01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03844705,isolate: Kew#0066433,"dev_stage: adult,tissue_type: Leaf",71478569,72811,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDIS01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03844708,isolate: Kew#0001568,"dev_stage: adult,tissue_type: Leaf",65765471,64870,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDIT01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03846650,isolate: PDA,"dev_stage: adult,tissue_type: Leaf",73145873,74674,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDIU01,TSA,,VRT,Austrofundulus limnaeus,PRJNA272154,"SAMN03610188,SAMN03610189,SAMN03610190,SAMN03610191",,,289054001,425716,0,No,2015-07-27T00:00:00Z,2015-07-27T00:00:00Z
GDIV01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03843846,isolate: Kew#0031398,"dev_stage: adult,tissue_type: Leaf",68899569,72511,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDIW01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03843847,isolate: Kew#0022659,"dev_stage: adult,tissue_type: Leaf",70550315,74046,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDIX01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03843850,isolate: Kew#0022682,"dev_stage: adult,tissue_type: Leaf",70840316,71049,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDIY01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03846653,isolate: SAR,"dev_stage: adult,tissue_type: Leaf",64439203,65843,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDIZ01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03846654,isolate: SEN,"dev_stage: adult,tissue_type: Leaf",70141557,70664,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDJA01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03846655,isolate: VIT,"dev_stage: adult,tissue_type: Leaf",72220755,76441,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDJB01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03845715,isolate: ARZ,"dev_stage: adult,tissue_type: Leaf",73877916,73964,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDJC01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03845717,isolate: FRT,"dev_stage: adult,tissue_type: leaf",63117786,63176,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDJD01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03843849,isolate: Kew#0021973,"dev_stage: adult,tissue_type: leaf",71538855,74819,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDJE01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03844703,isolate: Kew#0021995,"dev_stage: adult,tissue_type: leaf",66477168,66502,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDJF01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03844704,isolate: Kew#0022006,"dev_stage: adult,tissue_type: leaf",67678043,69334,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDJG01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03844706,isolate: Kew#0021984,"dev_stage: adult,tissue_type: leaf",72287866,75584,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDJH01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03844707,isolate: Kew#0008589,"dev_stage: adult,tissue_type: leaf",73337425,74093,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDJI01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03846649,isolate: OPG,"dev_stage: adult,tissue_type: leaf",64320351,64425,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDJJ01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03846652,isolate: ROC,"dev_stage: adult,tissue_type: Leaf",73348524,73613,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDJK01,TSA,,PLN,Silene conica,PRJNA289152,SAMN03846651,isolate: RD1,"dev_stage: adult,tissue_type: leaf",73619700,78843,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDJL01,TSA,,PLN,Silene macrodonta,PRJNA289152,SAMN03846656,isolate: MAC 7 COST 16 PL7,"dev_stage: adult,tissue_type: leaf",32337984,63430,0,No,2015-07-29T00:00:00Z,2015-07-29T00:00:00Z
GDJM01,TSA,,INV,Cotesia rubecula,PRJNA289731,SAMN03857491,,tissue_type: head,85930017,38830,0,No,2015-11-09T00:00:00Z,2015-11-09T00:00:00Z
GDJN01,TSA,,PLN,Ascochyta rabiei,PRJNA288273,"SAMN03835260,SAMN03835261,SAMN03835262",isolate: P4,,26782540,22725,0,No,2015-11-13T00:00:00Z,2015-11-13T00:00:00Z
GDJO01,TSA,,INV,Cotesia glomerata,PRJNA289655,SAMN03856543,,"dev_stage: adult,tissue_type: head",84148260,41146,0,No,2017-03-29T00:00:00Z,2015-11-04T00:00:00Z
GDJP01,TSA,,VRL,Cotesia rubecula bracovirus,PRJNA289731,SAMN03892806,,"host: Cotesia rubecula,isolation_source: head",13312,11,0,No,2015-11-09T00:00:00Z,2015-11-09T00:00:00Z
GDJQ01,TSA,,VRL,Cotesia glomerata bracovirus,PRJNA289655,SAMN03892807,,"host: Cotesia glomerata,isolation_source: head",19953,10,0,No,2015-11-09T00:00:00Z,2015-11-09T00:00:00Z
GDJR01,TSA,,PLN,Euglena gracilis,PRJNA289402,SAMN03856028,strain: Z,,122976775,113152,0,No,2016-03-08T00:00:00Z,2016-02-24T00:00:00Z
GDJS01,TSA,,MAM,Bubalus bubalis,PRJNA289559,SAMN03855787,breed: swamp buffalo,"tissue_type: heart\, brain\, lung\, kidney\, fat\, liver\, spleen\, uterus\, testis\, ovary and gland",83646050,86017,0,No,2016-03-17T00:00:00Z,2015-11-23T00:00:00Z
GDJT01,TSA,,PLN,Pisum sativum,PRJNA288408,SAMN03846793,cultivar: Primo,"dev_stage: developing seed 5 days after pollination,tissue_type: developing seed",4170533,6048,0,No,2016-04-05T00:00:00Z,2016-04-05T00:00:00Z
GDJU01,TSA,,PLN,Pisum sativum,PRJNA288408,SAMN03846794,cultivar: Primo,"dev_stage: developing seed 15 days after pollination,tissue_type: developing seed",4716063,6693,0,No,2016-04-05T00:00:00Z,2016-04-05T00:00:00Z
GDJV01,TSA,,PLN,Pisum sativum,PRJNA288408,SAMN03846795,cultivar: Primo,"dev_stage: developing seed 25 days after pollination,tissue_type: developing seed",1713447,2635,0,No,2016-04-05T00:00:00Z,2016-04-05T00:00:00Z
GDJW01,TSA,,PLN,Pisum sativum,PRJNA288408,SAMN03846796,cultivar: A7,"dev_stage: leaves from plants at the pod fill stage,tissue_type: leaf",3076630,4429,0,No,2016-04-05T00:00:00Z,2016-04-05T00:00:00Z
GDJX01,TSA,,PLN,Anthurium amnicola,PRJNA288827,"SAMN03839010,SAMN03839011,SAMN03839012,SAMN03839013,SAMN03839014,SAMN03839015,SAMN03839016,SAMN03839017,SAMN03839018,SAMN03839019,SAMN03839020,SAMN03839021",,,52452095,27959,27959,Yes,2016-09-08T00:00:00Z,2016-09-08T00:00:00Z
GDJY01,TSA,,INV,Lingula anatina,PRJNA286275,"SAMN03938718,SAMN03938719,SAMN03938720,SAMN03938721,SAMN03938722,SAMN03938723,SAMN03938724,SAMN03938725,SAMN03938726,SAMN03938727,SAMN03938728,SAMN03938729,SAMN03938730,SAMN03938731,SAMN03938732,SAMN03938733,SAMN03938734",,,101221438,47876,0,No,2015-09-21T00:00:00Z,2015-08-10T00:00:00Z
GDJZ01,TSA,,PLN,Pisum sativum,PRJNA288408,SAMN03846798,cultivar: A7,"dev_stage: leaves from plants at the pod fill stage,tissue_type: leaf",3822703,5547,0,No,2015-08-10T00:00:00Z,2015-08-10T00:00:00Z
GDKA01,TSA,,INV,Rhynchophorus ferrugineus,PRJNA275430,SAMN03344737,,"dev_stage: Adult,host: date palm,tissue_type: Antenna",30476589,35241,0,No,2016-02-11T00:00:00Z,2016-02-11T00:00:00Z
GDKB01,TSA,,INV,Cydia pomonella,PRJNA289066,"SAMN03840883,SAMN03840886,SAMN03840888",,,82414,59,59,Yes,2016-03-31T00:00:00Z,2016-01-14T00:00:00Z
GDKC01,TSA,,PLN,Ficus carica,PRJNA289240,"SAMN03847041,SAMN03847042",,,26985051,32970,0,No,2016-08-09T00:00:00Z,2016-08-09T00:00:00Z
GDKD01,TSA,,PLN,Cuscuta reflexa,PRJNA290291,SAMN03879961,,"dev_stage: vegetative growth,host: Pelargonium zonale,tissue_type: not attached filaments",32242149,41697,0,No,2015-11-16T00:00:00Z,2015-11-16T00:00:00Z
GDKE01,TSA,,PLN,Cuscuta gronovii,PRJNA291830,SAMN03955859,,"dev_stage: vegetative growth,host: Pelargonium zonale,tissue_type: not attached filaments",22982928,31130,0,No,2015-11-16T00:00:00Z,2015-11-16T00:00:00Z
GDKF01,TSA,,PLN,Auxenochlorella protothecoides,PRJNA289168,"SAMN03846662,SAMN03846663,SAMN03846664,SAMN03846665,SAMN03846666,SAMN03846667,SAMN03846668,SAMN03846669,SAMN03846670,SAMN03846671,SAMN03846672,SAMN03846673",,,20903175,10686,10686,Yes,2016-09-08T00:00:00Z,2016-09-08T00:00:00Z
GDKG01,TSA,,PLN,Bixa orellana,PRJNA290519,SAMN03892718,isolate: Peruana Roja,"dev_stage: Young leaf\, Immature seed and Mature seed,tissue_type: Young leaf\, Immature seed and Mature seed",99143516,52515,0,No,2015-11-04T00:00:00Z,2015-11-04T00:00:00Z
GDKH01,TSA,,INV,Voromonas pontica,PRJNA279879,SAMN03451136,isolate: G-3,isolation_source: laboratory culture,11820833,29260,0,No,2015-08-17T00:00:00Z,2015-08-17T00:00:00Z
GDKI01,TSA,,INV,Alphamonas edax,PRJNA279880,SAMN03451139,isolate: BE-2,isolation_source: laboratory culture,21829405,49869,0,No,2015-08-17T00:00:00Z,2015-08-17T00:00:00Z
GDKJ01,TSA,,INV,Colpodella angusta,PRJNA279882,SAMN03451138,isolate: BE-6,isolation_source: laboratory culture,42536599,65099,0,No,2015-08-17T00:00:00Z,2015-08-17T00:00:00Z
GDKK01,TSA,,INV,Colpodella angusta,PRJNA279881,SAMN03451137,isolate: Spi-2,isolation_source: laboratory culture,41420671,79324,0,No,2015-08-17T00:00:00Z,2015-08-17T00:00:00Z
GDKL01,TSA,,PLN,Salvia pomifera,PRJNA292070,SAMN03968470,,"dev_stage: mature,tissue_type: Trichomes",42264336,65974,0,No,2016-08-02T00:00:00Z,2016-08-02T00:00:00Z
GDKM01,TSA,,PLN,Oryza sativa Indica Group,PRJNA286071,SAMN03764505,cultivar: RP Bio-226,"dev_stage: seedling,tissue_type: leaf",22120701,24837,0,No,2015-12-23T00:00:00Z,2015-08-17T00:00:00Z
GDKN01,TSA,,PLN,Arachis hypogaea,PRJNA291488,"SAMN03944933,SAMN03944934,SAMN03944935,SAMN03944936,SAMN03944937,SAMN03944938,SAMN03944939,SAMN03944940,SAMN03944941,SAMN03944942,SAMN03944943,SAMN03944944,SAMN03944945,SAMN03944946,SAMN03944947,SAMN03944948,SAMN03944949,SAMN03944950,SAMN03944951,SAMN03944952,SAMN03944953,SAMN03944954,SAMN03944955,SAMN03944956,SAMN03944957,SAMN03944958,SAMN03944959,SAMN03944960,SAMN03944961,SAMN03944962,SAMN03944963,SAMN03944964,SAMN03944965,SAMN03944966,SAMN03944967,SAMN03944968,SAMN03944969,SAMN03944970,SAMN03944971,SAMN03944972,SAMN03944973,SAMN03944974,SAMN03944975,SAMN03944976,SAMN03944977,SAMN03944978,SAMN03944979,SAMN03944980,SAMN03944981,SAMN03944982,SAMN03944983,SAMN03944984,SAMN03944985,SAMN03944986,SAMN03944987,SAMN03944988,SAMN03944989,SAMN03944990",,,129918697,102303,0,No,2015-11-02T00:00:00Z,2015-11-02T00:00:00Z
GDKO01,TSA,,ROD,Marmota monax,PRJNA291589,SAMN03976054,,,343283806,218355,0,No,2015-08-19T00:00:00Z,2015-08-19T00:00:00Z
GDKP01,TSA,,VRT,Oncorhynchus mykiss,PRJNA209213,SAMN03944034,strain: LYNDON,tissue_type: white muscle,24380108,54759,0,No,2015-08-26T00:00:00Z,2015-08-26T00:00:00Z
GDKQ01,TSA,,INV,Nicrophorus vespilloides,PRJNA285436,"SAMN03753827,SAMN03753828,SAMN03753829,SAMN03753830,SAMN03753831,SAMN03753832,SAMN03753833,SAMN03753834,SAMN03753835,SAMN03753836,SAMN03753837,SAMN03753838,SAMN03753839,SAMN03753840,SAMN03753841,SAMN03753842,SAMN03753843,SAMN03753844,SAMN03753845,SAMN03753846,SAMN03753847,SAMN03753848,SAMN03753849,SAMN03753850",,,35402195,17019,0,No,2015-08-20T00:00:00Z,2015-08-20T00:00:00Z
GDKR01,TSA,,INV,Trichobilharzia regenti,PRJNA292737,"SAMN03997288,SAMN03997289,SAMN03997290,SAMN03997291,SAMN03997292,SAMN03997293,SAMN03997294,SAMN03997295",,,35851188,13754,0,No,2016-01-11T00:00:00Z,2016-01-11T00:00:00Z
GDKS01,TSA,,INV,Anopheles sinensis,PRJNA293400,SAMN04002516,breed: Anopheles,tissue_type: body,24534251,45217,0,No,2015-08-26T00:00:00Z,2015-08-26T00:00:00Z
GDKT01,TSA,,PLN,Vigna unguiculata subsp. sesquipedalis,PRJNA290938,"SAMN03923016,SAMN03944580",,tissue_type: leaf,55576645,85120,0,No,2016-03-31T00:00:00Z,2016-02-24T00:00:00Z
GDKU01,TSA,,VRT,Thamnophis sirtalis,PRJNA290790,SAMN03897508,isolate: EDBJR-23777,"dev_stage: adult,tissue_type: ovary\, brain\, digestive tract\, liver\, lung\, kidney\, salivary gland",95293497,125940,0,No,2015-09-01T00:00:00Z,2015-09-01T00:00:00Z
GDKV01,TSA,,VRT,Macropisthodon rudis,PRJNA291694,SAMN03997505,,tissue_type: venom gland,33143580,56935,0,No,2017-01-03T00:00:00Z,2016-09-08T00:00:00Z
GDKW01,TSA,,INV,Rhodnius neglectus,PRJNA292130,SAMN03975952,breed: Universidade de Brasilia colony,"dev_stage: nymphs and adults,isolation_source: Itambaraca,tissue_type: salivary glands",4920587,4230,4230,Yes,2016-05-10T00:00:00Z,2015-09-04T00:00:00Z
GDKX01,TSA,,INV,Choanocystis sp. FB-2015,PRJNA293113,SAMN03997107,isolate: clone HF-7,isolation_source: Wastewater ditch of treatment facility,58528949,66525,0,No,2016-09-08T00:00:00Z,2016-09-08T00:00:00Z
GDKY01,TSA,,INV,Asellus aquaticus,PRJNA270761,"SAMN03268597,SAMN03268599,SAMN03268602,SAMN03268603",,,11582160,21684,0,No,2015-09-01T00:00:00Z,2015-09-01T00:00:00Z
GDLA01,TSA,,INV,Larinus minutus,PRJNA286543,SAMN03799587,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",29051548,29721,0,No,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z
GDLF01,TSA,,INV,Calosoma frigidum,PRJNA286499,SAMN03799544,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",15253218,15495,0,No,2019-04-29T00:00:00Z,2019-04-29T00:00:00Z
GDLH01,TSA,,INV,Cybister lateralimarginalis,PRJNA286512,SAMN03799556,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",30812811,31402,0,No,2019-02-27T00:00:00Z,2019-02-27T00:00:00Z
GDLI01,TSA,,INV,Hypocaccus fitchi,PRJNA286537,SAMN03799581,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",16897738,20334,0,No,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z
GDLJ01,TSA,,INV,Anorus arizonicus,PRJNA286485,SAMN03799530,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",25553744,22370,0,No,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z
GDLP01,TSA,,INV,Paragymnomerus spiricornis,PRJNA286601,SAMN03799646,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",26071259,23109,0,No,2018-02-12T00:00:00Z,2018-02-12T00:00:00Z
GDLS01,TSA,,INV,Hypothenemus hampei,PRJNA279497,SAMN03448479,isolate: Beltsville Coffee Borer Beetle colony,"host: Coffea arabica,isolation_source: coffee berry",15181674,17132,0,No,2015-08-26T00:00:00Z,2015-08-26T00:00:00Z
GDLT01,TSA,,PLN,Tectona grandis,PRJNA287604,"SAMN03784591,SAMN03784592",,,6225669,2413,0,No,2015-09-18T00:00:00Z,2015-09-18T00:00:00Z
GDMH01,TSA,,INV,Cicindela hybrida,PRJNA286505,SAMN03799549,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",26663674,26286,0,No,2019-04-29T00:00:00Z,2019-04-29T00:00:00Z
GDMN01,TSA,,PLN,Rigidoporus microporus,PRJNA293866,SAMN04011630,isolate: ED310,isolation_source: Hevea brasiliensis,75102900,34441,0,No,2016-03-21T00:00:00Z,2016-03-21T00:00:00Z
GDMW01,TSA,,INV,Haliplus fluviatilis,PRJNA286525,SAMN03799569,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",38874015,45915,0,No,2019-02-27T00:00:00Z,2019-02-27T00:00:00Z
GDMY01,TSA,,INV,Dryops sp. AD-2015,PRJNA286519,SAMN03799563,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",32506637,30332,0,No,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z
GDNA01,TSA,,INV,Noterus clavicornis,PRJNA286561,SAMN03799605,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",22593699,21601,0,No,2019-02-27T00:00:00Z,2019-02-27T00:00:00Z
GDNB01,TSA,,INV,Dineutus sp. AD-2015,PRJNA286516,SAMN03799560,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",21267805,24661,0,No,2019-02-27T00:00:00Z,2019-02-27T00:00:00Z
GDNH01,TSA,,INV,Sinaspidytes wrasei,PRJNA286492,SAMN03799537,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",32677878,37371,0,No,2019-02-27T00:00:00Z,2019-02-27T00:00:00Z
GDNJ01,TSA,,INV,Heterochelus sp. AD-2015,PRJNA286531,SAMN03799575,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",32730428,50435,0,No,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z
GDNM01,TSA,,INV,Xylobiops basilaris,PRJNA286597,SAMN03799641,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",17023657,16807,0,No,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z
GDNW01,TSA,,INV,Cucujus clavipes,PRJNA286510,SAMN03799554,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",22189130,20731,0,No,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z
GDOQ01,TSA,,INV,Micromalthus debilis,PRJNA286555,SAMN03799599,breed: wildtype,"dev_stage: larva,tissue_type: whole organism",32532609,28718,0,No,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z
GDPC01,TSA,,INV,Thanasimus formicarius,PRJNA286592,SAMN03799636,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",34009808,36455,0,No,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z
GDPI01,TSA,,INV,Elaphrus aureus,PRJNA286520,SAMN03799564,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",25725675,20133,0,No,2019-04-29T00:00:00Z,2019-04-29T00:00:00Z
GDPL01,TSA,,INV,Oreina cacaliae,PRJNA286569,SAMN03799613,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",31277554,37290,0,No,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z
GDPQ01,TSA,,INV,Lagria hirta,PRJNA286540,SAMN03799584,breed: wildtype,"dev_stage: adult,tissue_type: whole organism",31704612,40362,0,No,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z
GDPR01,TSA,,INV,Hydrochara caraboides,PRJNA286534,SAMN03799578,breed: wildtype,"dev_stage: larva,tissue_type: whole organism",18691970,25261,0,No,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z
GDPU01,TSA,,INV,Macrosiagon limbatum,PRJNA286549,SAMN03799593,breed: wildtype,"dev_stage: adult,tissue_type: whole",19268281,26483,0,No,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z
GDQD01,TSA,,PLN,Pinus monticola,PRJNA292559,SAMN03981485,,"dev_stage: Adult,tissue_type: Needle",13534811,10530,0,No,2015-09-09T00:00:00Z,2015-09-09T00:00:00Z
GDQE01,TSA,,PLN,Pinus flexilis,PRJNA254339,SAMN04023209,isolate: High Elevation,"dev_stage: Mature,tissue_type: Needle",16275848,14279,0,No,2015-09-09T00:00:00Z,2015-09-09T00:00:00Z
GDQF01,TSA,,PLN,Erigeron breviscapus,PRJNA293262,"SAMN04002518,SAMN04002519,SAMN04002520,SAMN04002521,SAMN04002522,SAMN04002523",,,134475742,182087,0,No,2015-09-09T00:00:00Z,2015-09-09T00:00:00Z
GDQG01,TSA,,VRT,Oncorhynchus kisutch,PRJNA292718,"SAMN03983865,SAMN03983866,SAMN03983867,SAMN03983868,SAMN03983869,SAMN03983870,SAMN03983871,SAMN03983872,SAMN03983873",,"dev_stage: post-smolt,tissue_type: mixed",57669906,43228,0,Yes,2015-11-30T00:00:00Z,2015-09-14T00:00:00Z
GDQH01,TSA,,VRT,Danio rerio,PRJNA280983,SAMN03481244,strain: CG2,"dev_stage: adult,tissue_type: kidney\, intestine\, gills and spleen",80920926,44764,0,No,2015-09-28T00:00:00Z,2015-09-15T00:00:00Z
GDQI01,TSA,,PLN,Casuarina equisetifolia,PRJNA294034,SAMN04013498,cultivar: ITCCE001,"dev_stage: V2,tissue_type: Stem",34544465,37902,0,No,2015-09-14T00:00:00Z,2015-09-14T00:00:00Z
GDQJ01,TSA,,ROD,Mesocricetus auratus,PRJNA285471,SAMN03754118,strain: Syrian golden hamster,tissue_type: 10 different organs,60112530,49176,0,No,2015-09-09T00:00:00Z,2015-09-09T00:00:00Z
GDQK01,TSA,,PLN,Casuarina equisetifolia,PRJNA294034,SAMN04013496,cultivar: ITCCE001,"dev_stage: V2,tissue_type: Needle",12967892,12549,0,No,2015-09-14T00:00:00Z,2015-09-14T00:00:00Z
